Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,flow_duration,delta_0_us,delta_1,delta_2,delta_3,index_x,Flow Duration Original,index_y,total_latency
3.3.3.175 4.4.4.175 47652 1194,2650400051,2650956254,2650956274,2650956301,,,2650956359,2650956379,47652,0x6830,1,556710,38,27,,20,0,556625,0,85
4.4.4.175 3.3.3.175 1194 47652,2651014577,2651352307,2651352375,2651352385,,,2651352439,2651352451,1194,0x13be,1,338077,37,10,,12,1,338018,1,59
3.3.3.176 4.4.4.176 47652 1194,2651409146,2651509468,2651509536,2651509542,,,2651509596,2651509629,47652,0x43a8,1,100380,30,6,,33,2,100311,2,69
3.3.3.177 4.4.4.177 47652 1194,2651721892,2651812732,2651812800,2651812807,,,2651812863,2651812872,47652,0x6abf,1,90890,44,7,,9,4,90830,4,60
4.4.4.177 3.3.3.177 1194 47652,2651868783,2651961297,2651961364,2651961369,,,2651961424,2651961430,1194,0x1131,1,92666,37,5,,6,5,92618,5,48
3.3.3.178 4.4.4.178 47652 1194,2652016604,2652346389,2652346430,2652346436,,,2652346491,2652346501,47652,0x1186,1,330098,51,6,,10,6,330031,6,67
4.4.4.178 3.3.3.178 1194 47652,2652400258,2652522286,2652522355,2652522380,,,2652522438,2652522458,1194,0x6a08,1,122169,9,25,,20,7,122115,7,54
3.3.3.179 4.4.4.179 47652 1194,2652579088,2652666989,2652667028,2652667046,,,2652667103,2652667120,47652,0x3891,1,87985,26,18,,17,8,87924,8,61
4.4.4.179 3.3.3.179 1194 47652,2652729996,2652809883,2652809951,2652809958,,,2652810013,2652810023,1194,0x431f,1,79972,44,7,,10,9,79911,9,61
3.3.3.180 4.4.4.180 47652 1194,2652866849,2652959660,2652959670,2652959677,,,2652959733,2652959741,47652,0x1105,1,92908,53,7,,8,10,92840,10,68
4.4.4.180 3.3.3.180 1194 47652,2653014721,2653111614,2653111681,2653111687,,,2653111742,2653111749,1194,0x6a8b,1,96942,49,6,,7,11,96880,11,62
4.4.4.181 3.3.3.181 1194 47652,2653356433,2653453794,2653453862,2653453866,,,2653453921,2653453926,1194,0x439c,1,97419,43,4,,5,13,97367,13,52
3.3.3.182 4.4.4.182 47652 1194,2653510327,2654580856,2654580880,2654580902,,,2654580959,2654580977,47652,0x432b,1,1071546,38,22,,18,14,1071468,14,78
4.4.4.182 3.3.3.182 1194 47652,2654642410,2654752465,2654752533,2654752541,,,2654752597,2654752609,1194,0x38a5,1,110116,47,8,,12,15,110049,15,67
4.4.4.183 3.3.3.183 1194 47652,2654987987,2655117900,2655117909,2655117914,,,2655117969,2655117975,1194,0x11b2,1,130036,56,5,,6,17,129969,17,67
3.3.3.184 4.4.4.184 47652 1194,2655177801,2655304947,2655305000,2655305005,,,2655305060,2655305067,47652,0x1003,1,127265,45,5,,7,18,127208,18,57
4.4.4.184 3.3.3.184 1194 47652,2655365588,2655454170,2655454191,2655454196,,,2655454251,2655454258,1194,0x6b8d,1,88665,37,5,,7,19,88616,19,49
3.3.3.185 4.4.4.185 47652 1194,2655511475,2655617985,2655618055,2655618079,,,2655618138,2655618158,47652,0x3914,1,106588,17,24,,20,20,106527,20,61
4.4.4.186 3.3.3.186 1194 47652,2656044025,2656146738,2656146794,2656146799,,,2656146854,2656146863,1194,0x39a3,1,102826,30,5,,9,23,102782,23,44
3.3.3.187 4.4.4.187 47652 1194,2656202907,2656362786,2656362854,2656362859,,,2656362914,2656362922,47652,0x6b3a,1,160023,43,5,,8,24,159967,24,56
4.4.4.187 3.3.3.187 1194 47652,2656424657,2656552357,2656552422,2656552426,,,2656552481,2656552487,1194,0x10b4,1,127816,43,4,,6,25,127763,25,53
4.4.4.188 3.3.3.188 1194 47652,2656771359,2656876663,2656876731,2656876736,,,2656876792,2656876802,1194,0x3920,1,105398,36,5,,10,27,105347,27,51
3.3.3.189 4.4.4.189 47652 1194,2656939285,2657017783,2657017850,2657017856,,,2657017911,2657017919,47652,0x6bb9,1,78569,67,6,,8,28,78488,28,81
4.4.4.189 3.3.3.189 1194 47652,2657084068,2657167928,2657167996,2657168001,,,2657168056,2657168060,1194,0x1037,1,83874,43,5,,4,29,83822,29,52
3.3.3.191 4.4.4.191 37020 1194,2659849637,2660032837,2660032905,2660032916,,,2660032971,2660032983,37020,0x2124,1,183323,39,11,,12,32,183261,32,62
4.4.4.191 3.3.3.191 1194 37020,2660086402,2660185300,2660185368,2660185373,,,2660185428,2660185438,1194,0x4f3d,1,98986,36,5,,10,33,98935,33,51
3.3.3.192 4.4.4.192 37020 1194,2660251236,2660613830,2660613899,2660613908,,,2660613964,2660613975,37020,0x747d,1,362892,46,9,,11,34,362826,34,66
3.3.3.193 4.4.4.193 37020 1194,2660850713,2660981984,2660982052,2660982059,,,2660982114,2660982120,37020,0x5d6a,1,131353,53,7,,6,36,131287,36,66
4.4.4.193 3.3.3.193 1194 37020,2661046547,2661164174,2661164242,2661164248,,,2661164304,2661164312,1194,0x3373,1,117676,42,6,,8,37,117620,37,56
3.3.3.194 4.4.4.194 37020 1194,2661226401,2661330004,2661330043,2661330047,,,2661330102,2661330109,37020,0x2653,1,103730,40,4,,7,38,103679,38,51
3.3.3.195 4.4.4.195 37020 1194,2661553110,2661823531,2661823601,2661823626,,,2661823684,2661823703,37020,0x0f44,1,270605,20,25,,19,40,270541,40,64
4.4.4.195 3.3.3.195 1194 37020,2661878808,2662003800,2662003867,2662003875,,,2662003931,2662003943,1194,0x615d,1,125076,46,8,,12,41,125010,41,66
3.3.3.196 4.4.4.196 37020 1194,2662060693,2662180496,2662180563,2662180569,,,2662180624,2662180630,37020,0x26d0,1,119971,41,6,,6,42,119918,42,53
4.4.4.196 3.3.3.196 1194 37020,2662240521,2662320220,2662320255,2662320261,,,2662320316,2662320325,1194,0x48c9,1,79776,36,6,,9,43,79725,43,51
3.3.3.198 4.4.4.198 37020 1194,2663909001,2664133426,2664133475,2664133485,,,2664133541,2664133551,37020,0x74fe,1,224646,41,10,,10,46,224585,46,61
4.4.4.199 3.3.3.199 1194 37020,2664582446,2664714256,2664714327,2664714352,,,2664714410,2664714431,1194,0x33f0,1,131918,14,25,,21,49,131858,49,60
3.3.3.200 4.4.4.200 37020 1194,2664771299,2664908713,2664908737,2664908761,,,2664908819,2664908838,37020,0x27d6,1,137615,20,24,,19,50,137552,50,63
4.4.4.200 3.3.3.200 1194 37020,2664968038,2665088058,2665088122,2665088129,,,2665088184,2665088195,1194,0x49cf,1,120130,38,7,,11,51,120074,51,56
3.3.3.201 4.4.4.201 37020 1194,2665143888,2665254113,2665254139,2665254144,,,2665254199,2665254204,37020,0x0ec1,1,110326,49,5,,5,52,110267,52,59
3.3.3.203 4.4.4.203 37020 1194,2666884358,2667035765,2667035825,2667035834,,,2667035890,2667035901,37020,0x5cef,1,151545,32,9,,11,56,151493,56,52
3.3.3.204 4.4.4.204 37020 1194,2667270983,2667358552,2667358620,2667358624,,,2667358678,2667358686,37020,0x757b,1,87622,42,4,,8,58,87568,58,54
4.4.4.204 3.3.3.204 1194 37020,2667419936,2667512150,2667512173,2667512177,,,2667512233,2667512240,1194,0x1b62,1,92370,39,4,,7,59,92320,59,50
3.3.3.205 4.4.4.205 37020 1194,2667567716,2667662064,2667662132,2667662141,,,2667662197,2667662205,37020,0x5c6c,1,94382,32,9,,8,60,94333,60,49
4.4.4.205 3.3.3.205 1194 37020,2667717595,2667794554,2667794572,2667794596,,,2667794654,2667794673,1194,0x3275,1,77030,1,24,,19,61,76986,61,44
4.4.4.206 3.3.3.206 1194 37020,2668051368,2668135556,2668135621,2668135628,,,2668135683,2668135688,1194,0x494c,1,84316,39,7,,5,63,84265,63,51
3.3.3.207 4.4.4.207 37020 1194,2668192194,2668332979,2668333047,2668333052,,,2668333107,2668333114,37020,0x0e42,1,140864,38,5,,7,64,140814,64,50
4.4.4.207 3.3.3.207 1194 37020,2668386996,2668505676,2668505679,2668505687,,,2668505742,2668505750,1194,0x605b,1,118787,35,8,,8,65,118736,65,51
4.4.4.208 3.3.3.208 1194 37020,2668825605,2668902659,2668902726,2668902731,,,2668902787,2668902795,1194,0x4bc3,1,77066,32,5,,8,67,77021,67,45
3.3.3.209 4.4.4.209 37020 1194,2668957549,2669169937,2669169960,2669169965,,,2669170020,2669170025,37020,0x0ccd,1,212649,55,5,,5,68,212584,68,65
3.3.3.210 4.4.4.210 42818 1194,2669412080,2670952612,2670952681,2670952695,,,2670952750,2670952765,42818,0x4372,1,1541907,35,14,,15,70,1541843,70,64
4.4.4.211 3.3.3.211 1194 42818,2672396523,2672521426,2672521466,2672521483,,,2672521539,2672521554,1194,0x4256,1,125077,33,17,,15,73,125012,73,65
3.3.3.212 4.4.4.212 42818 1194,2672581271,2672658682,2672658731,2672658740,,,2672658796,2672658807,42818,0x43f1,1,77487,32,9,,11,74,77435,74,52
3.3.3.213 4.4.4.213 42818 1194,2672837111,2672937079,2672937109,2672937115,,,2672937170,2672937176,42818,0x6ae6,1,100107,40,6,,6,76,100055,76,52
3.3.3.214 4.4.4.214 42818 1194,2673134833,2673235262,2673235274,2673235278,,,2673235333,2673235337,42818,0x11df,1,100544,48,4,,4,78,100488,78,56
4.4.4.215 3.3.3.215 1194 42818,2673747282,2673763778,2673763819,2673763826,,,2673763881,2673763890,1194,0x10fb,1,16577,34,7,,9,81,16527,81,50
3.3.3.216 4.4.4.216 42818 1194,2673823210,2674029613,2674029615,2674029621,,,2674029676,2674029684,42818,0x42f7,1,206655,38,6,,8,82,206603,82,52
3.3.3.217 4.4.4.217 42818 1194,2674259840,2674358747,2674358814,2674358819,,,2674358873,2674358880,42818,0x6be0,1,99021,49,5,,7,84,98960,84,61
4.4.4.217 3.3.3.217 1194 42818,2674417626,2674428812,2674428880,2674428884,,,2674428939,2674428945,1194,0x43d3,1,11135,93,4,,6,85,11032,85,103
4.4.4.218 3.3.3.218 42818 1194,2675282874,2675971278,2675971346,2675971360,,,2675971416,2675971430,42818,0x4f6e,1,689018,29,14,,14,87,688961,87,57
3.3.3.219 4.4.4.219 42818 1194,2676030301,2676156229,2676156256,2676156263,,,2676156318,2676156326,42818,0x39ce,1,126113,46,7,,8,88,126052,88,61
4.4.4.220 3.3.3.220 1194 42818,2676867495,2676973080,2676973149,2676973162,,,2676973217,2676973230,1194,0x3869,1,105702,13,13,,13,91,105663,91,39
3.3.3.221 4.4.4.221 42818 1194,2677028313,2677136394,2677136446,2677136453,,,2677136507,2677136513,42818,0x394d,1,108203,37,7,,6,92,108153,92,50
4.4.4.222 3.3.3.222 1194 42818,2677558836,2677676995,2677677064,2677677073,,,2677677129,2677677139,1194,0x6a47,1,118257,37,9,,10,95,118201,95,56
3.3.3.223 4.4.4.223 42818 1194,2677731714,2677834417,2677834454,2677834460,,,2677834515,2677834522,42818,0x6b63,1,102842,38,6,,7,96,102791,96,51
4.4.4.223 3.3.3.223 1194 42818,2677888567,2677977644,2677977680,2677977686,,,2677977741,2677977749,1194,0x4350,1,89190,35,6,,8,97,89141,97,49
3.3.3.225 4.4.4.225 42818 1194,2678359153,2678572595,2678572664,2678572670,,,2678572726,2678572734,42818,0x3c53,1,213620,48,6,,8,100,213558,100,62
3.3.3.226 4.4.4.226 42818 1194,2678833761,2678973331,2678973389,2678973395,,,2678973450,2678973456,42818,0x476a,1,139764,47,6,,6,102,139705,102,59
3.3.3.227 4.4.4.227 42818 1194,2679211362,2679305635,2679305646,2679305651,,,2679305706,2679305711,42818,0x6e7d,1,94362,50,5,,5,104,94302,104,60
3.3.3.228 4.4.4.228 42818 1194,2679509143,2679745513,2679745545,2679745558,,,2679745618,2679745627,42818,0x47e9,1,236644,35,13,,9,106,236587,106,57
4.4.4.228 3.3.3.228 1194 42818,2679797854,2679809820,2679809888,2679809894,,,2679809949,2679809959,1194,0x6fda,1,11998,51,6,,10,107,11931,107,67
3.3.3.229 4.4.4.229 42818 1194,2679869827,2679998226,2679998294,2679998300,,,2679998356,2679998364,42818,0x6efe,1,128560,38,6,,8,108,128508,108,52
4.4.4.231 3.3.3.231 1194 44526,2681729111,2681821020,2681821075,2681821083,,,2681821138,2681821147,1194,0x0744,1,91996,40,8,,9,113,91939,113,57
3.3.3.232 4.4.4.232 44526 1194,2681877975,2681990952,2681990998,2681991003,,,2681991058,2681991066,44526,0x2586,1,113080,40,5,,8,114,113027,114,53
4.4.4.233 3.3.3.233 1194 44526,2682410504,2682524692,2682524759,2682524764,,,2682524819,2682524824,1194,0x546c,1,114293,44,5,,5,117,114239,117,54
3.3.3.234 4.4.4.234 44526 1194,2682582373,2682807752,2682807783,2682807793,,,2682807849,2682807857,44526,0x77a8,1,225597,35,10,,8,118,225544,118,53
3.3.3.235 4.4.4.235 44526 1194,2683041981,2683155145,2683155165,2683155171,,,2683155226,2683155232,44526,0x5ebf,1,113307,34,6,,6,120,113261,120,46
3.3.3.236 4.4.4.236 44526 1194,2683352734,2683455364,2683455377,2683455381,,,2683455436,2683455442,44526,0x772b,1,102794,46,4,,6,122,102738,122,56
4.4.4.236 3.3.3.236 1194 44526,2683512593,2683586276,2683586345,2683586356,,,2683586412,2683586422,1194,0x2fd6,1,73733,45,11,,10,123,73667,123,66
3.3.3.237 4.4.4.237 44526 1194,2683640429,2683894799,2683894860,2683894868,,,2683894923,2683894932,44526,0x5e3c,1,254598,37,8,,9,124,254544,124,54
3.3.3.238 4.4.4.238 44526 1194,2684172072,2684279951,2684280018,2684280023,,,2684280079,2684280085,44526,0x2505,1,108004,44,5,,6,126,107949,126,55
4.4.4.238 3.3.3.238 1194 44526,2684333805,2684429883,2684429913,2684429918,,,2684429973,2684429979,1194,0x7df8,1,96184,45,5,,6,127,96128,127,56
3.3.3.239 4.4.4.239 44526 1194,2684485652,2684609786,2684609854,2684609864,,,2684609919,2684609926,44526,0x0c12,1,124215,40,10,,7,128,124158,128,57
4.4.4.239 3.3.3.239 1194 44526,2684663572,2684774775,2684774843,2684774847,,,2684774902,2684774908,1194,0x54ef,1,111328,38,4,,6,129,111280,129,48
3.3.3.241 4.4.4.241 44526 1194,2685294940,2685736588,2685736642,2685736655,,,2685736711,2685736723,44526,0x0e9d,1,442044,34,13,,12,132,441985,132,59
3.3.3.242 4.4.4.242 44526 1194,2686297037,2686759931,2686760000,2686760011,,,2686760067,2686760076,44526,0x75a4,1,463307,45,11,,9,134,463242,134,65
3.3.3.243 4.4.4.243 44526 1194,2687050440,2687163815,2687163883,2687163887,,,2687163943,2687163948,44526,0x5cb3,1,113456,45,4,,5,136,113402,136,54
4.4.4.243 3.3.3.243 1194 44526,2687221249,2687312947,2687313014,2687313018,,,2687313073,2687313082,1194,0x044e,1,91754,35,4,,9,137,91706,137,48
3.3.3.244 4.4.4.244 44526 1194,2687369089,2687532735,2687532802,2687532806,,,2687532861,2687532866,44526,0x7527,1,163765,46,4,,5,138,163710,138,55
3.3.3.245 4.4.4.245 44526 1194,2687802716,2688037044,2688037108,2688037114,,,2688037169,2688037178,44526,0x5c30,1,234541,53,6,,9,140,234473,140,68
4.4.4.245 3.3.3.245 1194 44526,2688090439,2688205670,2688205698,2688205703,,,2688205758,2688205767,1194,0x04cd,1,115334,41,5,,9,141,115279,141,55
3.3.3.246 4.4.4.246 44526 1194,2688262357,2688416537,2688416605,2688416610,,,2688416664,2688416671,44526,0x2709,1,154345,54,5,,7,142,154279,142,66
4.4.4.246 3.3.3.246 1194 44526,2688475154,2688610177,2688610245,2688610252,,,2688610308,2688610316,1194,0x7ff4,1,135134,44,7,,8,143,135075,143,59
4.4.4.247 3.3.3.247 1194 44526,2688916792,2689047559,2689047627,2689047632,,,2689047686,2689047693,1194,0x56e3,1,130923,72,5,,7,145,130839,145,84
3.3.3.248 4.4.4.248 44526 1194,2689104570,2689238296,2689238363,2689238367,,,2689238421,2689238426,44526,0x7421,1,133828,42,4,,5,146,133777,146,51
4.4.4.248 3.3.3.248 1194 44526,2689304408,2689433401,2689433469,2689433473,,,2689433529,2689433533,1194,0x2cdc,1,129157,60,4,,4,147,129089,147,68
4.4.4.249 3.3.3.249 1194 44526,2689643051,2689729660,2689729729,2689729736,,,2689729790,2689729797,1194,0x05cb,1,86658,34,7,,7,149,86610,149,48
