timestamp,"
  flow_id_hex",pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,delta_0_ms,delta_1,delta_3
2026-01-31T16:35:30.566657Z,0x3eb3,182474425,182528180,182528201,182528238,182528313,182528336,53.755,37,23
2026-01-31T16:35:35.500119Z,0x7012,187587830,187647317,187647391,187647411,187647483,187647496,59.487,20,13
2026-01-31T16:35:41.090859Z,0x17a4,192705270,193214024,193214073,193214089,193214158,193214173,508.754,16,15
2026-01-31T16:35:46.684208Z,0x5905,198272361,198780636,198780710,198780726,198780794,198780809,508.275,16,15
2026-01-31T16:35:52.271636Z,0x6d9b,203840359,204168924,204168999,204169013,204169081,204169095,328.565,14,14
2026-01-31T16:35:57.870909Z,0x233a,209229572,209522571,209522594,209522608,209522674,209522687,292.999,14,13
2026-01-31T16:36:02.804174Z,0x448c,214581723,214637014,214637088,214637103,214637168,214637181,55.291,15,13
2026-01-31T16:36:07.736855Z,0xa2d,219695223,219813060,219813133,219813148,219813212,219813226,117.837,15,14
2026-01-31T16:36:13.340422Z,0x3fb5,224869626,225080867,225080941,225080954,225081018,225081030,211.241,13,12
2026-01-31T16:36:18.270827Z,0x7114,230137860,230260237,230260305,230260320,230260384,230260397,122.377,15,13
2026-01-31T16:36:23.204261Z,0x4b1a,235317256,235384262,235384312,235384324,235384388,235384402,67.006,12,14
2026-01-31T16:36:28.803012Z,0x13c9,240437709,240533412,240533451,240533466,240533530,240533545,95.703,15,15
2026-01-31T16:36:34.989298Z,0x628e,245590060,246637455,246637529,246637543,246637606,246637621,1047.395,14,15
2026-01-31T16:36:40.579529Z,0x3a5d,251698701,252720435,252720467,252720482,252720545,252720559,1021.734,15,14
2026-01-31T16:36:46.174427Z,0x4b99,257779192,257893859,257893893,257893906,257893967,257893979,114.667,13,12
2026-01-31T16:36:51.097028Z,0x134a,262954634,263073229,263073273,263073284,263073345,263073356,118.595,11,11
2026-01-31T16:36:56.031211Z,0x30a0,268127967,268194014,268194035,268194046,268194106,268194118,66.047,11,12
2026-01-31T16:37:01.622942Z,0x6873,273254386,273333784,273333857,273333871,273333930,273333942,79.398,14,12
2026-01-31T16:37:06.556585Z,0x19b7,278391811,278477536,278477608,278477619,278477679,278477689,85.725,11,10
2026-01-31T16:37:11.492662Z,0x4164,283535233,283636077,283636151,283636163,283636221,283636231,100.844,12,10
2026-01-31T16:37:17.086098Z,0x322f,288695644,288899460,288899483,288899495,288899553,288899565,203.816,12,12
2026-01-31T16:37:22.011735Z,0x6afc,293959922,294100633,294100689,294100703,294100760,294100772,140.711,14,12
2026-01-31T16:37:27.609604Z,0x1b38,299162287,299260139,299260160,299260174,299260231,299260244,97.852,14,13
2026-01-31T16:37:32.536657Z,0x43eb,304319683,304435586,304435661,304435670,304435727,304435738,115.903,9,11
2026-01-31T16:37:37.477511Z,0x6001,309496086,309595104,309595178,309595191,309595248,309595262,99.018,13,14
2026-01-31T16:37:43.069703Z,0x38d2,314656461,314737260,314737334,314737344,314737402,314737412,80.799,10,10
2026-01-31T16:37:48.683208Z,0x4916,319800879,320363085,320363159,320363171,320363228,320363242,562.206,12,14
2026-01-31T16:37:54.282184Z,0x11c5,325420858,325986355,325986396,325986407,325986464,325986475,565.497,11,11
2026-01-31T16:37:59.211678Z,0x6082,331046828,331125219,331125281,331125293,331125351,331125365,78.391,12,14
2026-01-31T16:38:04.139698Z,0x3851,336189261,336274020,336274093,336274104,336274161,336274171,84.759,11,10
2026-01-31T16:38:09.733479Z,0x4995,341329689,341436474,341436526,341436538,341436595,341436606,106.785,12,11
2026-01-31T16:38:14.672467Z,0x1146,346496056,346566967,346567042,346567052,346567110,346567121,70.911,10,11
2026-01-31T16:38:19.604304Z,0x32ac,351625488,351732064,351732112,351732124,351732182,351732192,106.576,12,10
2026-01-31T16:38:25.188477Z,0x6a7f,356790923,356860454,356860527,356860538,356860594,356860603,69.531,11,9
2026-01-31T16:38:30.125287Z,0x1bbb,361924333,362041771,362041817,362041827,362041883,362041895,117.438,10,12
2026-01-31T16:38:35.060460Z,0x4368,367100753,367212857,367212930,367212941,367212998,367213007,112.104,11,9
2026-01-31T16:38:40.667568Z,0x6184,372269092,372347671,372347745,372347759,372347814,372347826,78.579,14,12
2026-01-31T16:38:45.601947Z,0x3957,377405495,377481630,377481704,377481714,377481770,377481779,76.135,10,9
2026-01-31T16:38:57.150724Z,0x1040,388858280,389184592,389184665,389184680,389184735,389184750,326.312,15,15
2026-01-31T16:39:02.739150Z,0x33aa,394245490,394384661,394384733,394384745,394384800,394384814,139.171,12,14
2026-01-31T16:39:07.669719Z,0x6b79,399443937,399584354,399584426,399584438,399584493,399584504,140.417,12,11
2026-01-31T16:39:12.599610Z,0x1abd,404640270,404799757,404799829,404799843,404799898,404799912,159.487,14,14
2026-01-31T16:39:18.197789Z,0x426e,409858608,409934496,409934502,409934513,409934569,409934580,75.888,11,11
2026-01-31T16:39:23.141818Z,0x3329,414990957,415109611,415109629,415109639,415109695,415109705,118.654,10,10
2026-01-31T16:39:28.077648Z,0x6bfa,420166370,420284089,420284161,420284173,420284228,420284239,117.719,12,11
2026-01-31T16:39:42.286626Z,0x2bb4,432444398,434026819,434026869,434026885,434026942,434026957,1582.421,16,15
2026-01-31T16:39:47.802181Z,0x467e,439084496,439459960,439459972,439459985,439460044,439460058,375.464,13,14
2026-01-31T16:39:54.053401Z,0x23e8,444521671,445751754,445751827,445751841,445751897,445751912,1230.083,14,15
2026-01-31T16:39:58.994148Z,0x6f69,450812039,450884697,450884769,450884784,450884840,450884855,72.658,15,15
2026-01-31T16:40:03.931164Z,0xaff,455946453,456006361,456006386,456006402,456006457,456006471,59.908,16,14
2026-01-31T16:40:09.532113Z,0x4955,461064885,461175414,461175476,461175490,461175546,461175560,110.529,14,14
2026-01-31T16:40:14.457048Z,0x2cc3,466232291,466278519,466278528,466278541,466278596,466278609,46.228,13,13
2026-01-31T16:40:19.384594Z,0x6042,471347728,471387768,471387824,471387837,471387892,471387902,40.04,13,10
2026-01-31T16:40:24.313289Z,0x5d4,476448198,476488146,476488182,476488195,476488251,476488263,39.948,13,12
2026-01-31T16:40:29.910564Z,0x1b7b,481544644,481575723,481575767,481575779,481575834,481575845,31.079,12,11
2026-01-31T16:40:34.841968Z,0x7eed,486634097,486665479,486665549,486665562,486665618,486665628,31.382,13,10
2026-01-31T16:40:39.774772Z,0x326c,491722516,491757006,491757077,491757090,491757146,491757156,34.49,13,10
2026-01-31T16:40:44.700721Z,0x57fa,496814998,496860646,496860718,496860738,496860794,496860808,45.648,20,14
2026-01-31T16:40:50.297648Z,0x1bf8,501916438,501963280,501963306,501963317,501963372,501963384,46.842,11,12
2026-01-31T16:40:55.232584Z,0x7e6e,507017903,507071987,507072006,507072019,507072078,507072089,54.084,13,11
2026-01-31T16:41:00.828669Z,0x418a,512135364,512485090,512485164,512485177,512485232,512485244,349.726,13,12
2026-01-31T16:41:05.764510Z,0x241c,517544512,517846437,517846508,517846520,517846575,517846588,301.925,12,13
2026-01-31T16:41:11.362037Z,0x49d6,522901733,523004964,523005010,523005023,523005078,523005089,103.231,13,11
2026-01-31T16:41:16.293005Z,0x2c40,528074123,528144841,528144913,528144925,528144980,528144993,70.718,12,13
2026-01-31T16:41:21.220943Z,0x60c1,533202624,533242336,533242408,533242421,533242476,533242489,39.712,13,13
2026-01-31T16:41:26.153167Z,0x557,538300005,538344620,538344670,538344680,538344736,538344746,44.615,10,10
2026-01-31T16:41:33.004820Z,0x699b,543405438,544694345,544694376,544694390,544694446,544694459,1288.907,14,13
2026-01-31T16:41:38.597238Z,0xc0d,549751840,550738187,550738242,550738269,550738327,550738345,986.347,27,18
2026-01-31T16:41:44.189509Z,0x33e9,555795411,555879192,555879216,555879241,555879299,555879318,83.781,25,19
2026-01-31T16:41:49.128752Z,0x567f,560941819,561027238,561027310,561027335,561027393,561027414,85.419,25,21
2026-01-31T16:41:54.059956Z,0x48d0,566084339,566128801,566128833,566128858,566128916,566128935,44.462,25,19
2026-01-31T16:41:59.572192Z,0x2d46,571186706,571257747,571257820,571257846,571257905,571257925,71.041,26,20
2026-01-31T16:42:05.163103Z,0x61c7,576319150,576834436,576834508,576834533,576834590,576834610,515.286,25,20
2026-01-31T16:42:10.674516Z,0x451,581897159,582365881,582365939,582365963,582366021,582366041,468.722,24,20
2026-01-31T16:42:16.928116Z,0x7f5e,587425207,588650758,588650830,588650844,588650899,588650916,1225.551,14,17
2026-01-31T16:42:21.858527Z,0x50c5,593709571,593808908,593808981,593808997,593809053,593809067,99.337,16,14
2026-01-31T16:42:26.788351Z,0x5649,598874060,598902075,598902146,598902160,598902216,598902230,28.015,14,14
2026-01-31T16:42:32.299103Z,0x79d2,603965463,603989693,603989722,603989735,603989790,603989800,24.23,13,10
2026-01-31T16:42:37.232454Z,0x2d70,609044957,609103791,609103858,609103873,609103930,609103942,58.834,15,12
2026-01-31T16:42:42.165493Z,0x2eb,614162391,614211663,614211735,614211748,614211804,614211815,49.272,13,11
2026-01-31T16:42:47.678561Z,0x467,619268808,619330864,619330892,619330907,619330963,619330972,62.056,15,9
2026-01-31T16:42:52.608905Z,0x2bfc,624390227,624456390,624456446,624456461,624456517,624456531,66.163,15,14
2026-01-31T16:42:57.541533Z,0x2fff,629517735,629530928,629530937,629530949,629531005,629531016,13.193,12,11
2026-01-31T16:43:02.479192Z,0x64,634594156,634616809,634616862,634616874,634616931,634616942,22.653,12,11
2026-01-31T16:43:08.076509Z,0x6e8,639673637,639962633,639962677,639962691,639962748,639962762,288.996,14,14
2026-01-31T16:43:13.684183Z,0x2973,645017940,645571751,645571822,645571832,645571888,645571902,553.811,10,14
2026-01-31T16:43:18.615409Z,0x7dd1,650632847,650669154,650669226,650669238,650669294,650669307,36.307,12,13
2026-01-31T16:43:23.548334Z,0x524a,655729312,655764819,655764862,655764874,655764930,655764941,35.507,12,11
2026-01-31T16:43:29.149604Z,0x54c6,660818766,660871078,660871149,660871161,660871217,660871227,52.312,12,10
2026-01-31T16:43:34.084382Z,0x7b5d,665931164,665977125,665977197,665977208,665977264,665977275,45.961,11,11
2026-01-31T16:43:39.026242Z,0x7d52,671036716,671052437,671052491,671052505,671052561,671052571,15.721,14,10
2026-01-31T16:43:43.960455Z,0x52c9,676112168,676136397,676136468,676136480,676136536,676136548,24.229,12,12
2026-01-31T16:43:49.557013Z,0x5445,681194659,681250912,681250984,681250998,681251055,681251069,56.253,14,14
2026-01-31T16:43:54.488183Z,0x7bde,686308017,686346796,686346867,686346880,686346936,686346948,38.779,13,12
2026-01-31T16:43:59.410625Z,0x2f7c,691403539,691456675,691456727,691456743,691456799,691456809,53.136,16,10
2026-01-31T16:44:04.347540Z,0xe7,696515922,696533010,696533082,696533095,696533151,696533162,17.088,13,11
2026-01-31T16:44:09.946557Z,0x66b,701590436,701617090,701617136,701617148,701617204,701617215,26.654,12,11
2026-01-31T16:44:14.870039Z,0x29f0,706674895,706697981,706698052,706698061,706698116,706698127,23.086,9,11
2026-01-31T16:44:19.801476Z,0x7c54,711758370,711843751,711843821,711843831,711843886,711843895,85.381,10,9
2026-01-31T16:44:25.322650Z,0x53cf,716902764,716986323,716986348,716986361,716986416,716986427,83.559,13,11
2026-01-31T16:44:30.255573Z,0x5543,722040184,722100758,722100829,722100844,722100899,722100913,60.574,15,14
2026-01-31T16:44:35.202218Z,0x7ad8,727156609,727217948,727217979,727217991,727218046,727218058,61.339,12,12
2026-01-31T16:44:46.092296Z,0x1e1,737793139,737856948,737857019,737857038,737857095,737857111,63.809,19,16
2026-01-31T16:44:51.028052Z,0x6bd9,742917627,743058906,743058978,743058995,743059051,743059066,141.279,17,15
2026-01-31T16:44:56.621156Z,0x249f,748115982,748617319,748617391,748617405,748617460,748617474,501.337,14,14
2026-01-31T16:45:09.495965Z,0x54be,760531871,761239981,761240025,761240046,761240102,761240118,708.11,21,16
2026-01-31T16:45:14.438117Z,0x6b5a,766300686,766433082,766433153,766433168,766433224,766433238,132.396,15,14
2026-01-31T16:45:31.293996Z,0x690,782956913,783040784,783040816,783040830,783040886,783040899,83.871,14,13
2026-01-31T16:45:36.232921Z,0x3974,788105277,788148919,788148988,788148998,788149054,788149064,43.642,10,10
2026-01-31T16:45:41.821141Z,0x7632,793206798,793638272,793638276,793638288,793638344,793638357,431.474,12,13
2026-01-31T16:45:52.066638Z,0x815,804060088,804142675,804142695,804142709,804142765,804142778,82.587,14,13
2026-01-31T16:45:57.585060Z,0x6e44,809200485,809276559,809276630,809276640,809276696,809276707,76.074,10,11
2026-01-31T16:46:02.521300Z,0x2102,814334925,814399666,814399737,814399746,814399802,814399812,64.741,9,10
2026-01-31T16:46:07.449818Z,0x157d,819456363,819523958,819523996,819524007,819524066,819524075,67.595,11,9
2026-01-31T16:46:12.959786Z,0x5a3b,824584762,824626798,824626813,824626824,824626880,824626889,42.036,11,9
2026-01-31T16:46:17.904777Z,0x3c6a,829690205,829796500,829796570,829796583,829796639,829796653,106.295,13,14
2026-01-31T16:46:22.829721Z,0x732c,834856616,834873613,834873634,834873646,834873702,834873712,16.997,12,10
2026-01-31T16:46:27.763864Z,0x15fe,839931097,839954414,839954485,839954497,839954554,839954563,23.317,12,9
2026-01-31T16:46:33.354065Z,0x5ab8,845012583,845050430,845050501,845050513,845050568,845050577,37.847,12,9
2026-01-31T16:46:38.288942Z,0x3ce9,850109041,850223288,850223359,850223374,850223430,850223442,114.247,15,12
2026-01-31T16:46:43.228626Z,0x73af,855280374,855396939,855397010,855397023,855397078,855397089,116.565,13,11
2026-01-31T16:46:48.821066Z,0x47d0,860458773,860482143,860482184,860482196,860482250,860482260,23.37,12,10
2026-01-31T16:46:53.749213Z,0x896,865539300,865571114,865571148,865571161,865571216,865571229,31.814,13,13
2026-01-31T16:46:58.688580Z,0x6ec7,870625693,870662320,870662390,870662404,870662459,870662471,36.627,14,12
2026-01-31T16:47:03.612725Z,0x2181,875723153,875773188,875773240,875773252,875773308,875773317,50.035,12,9
2026-01-31T16:47:09.222986Z,0x14f8,880830614,880888035,880888106,880888117,880888173,880888182,57.421,11,9
2026-01-31T16:47:14.144688Z,0x5bbe,885944062,885997957,885998012,885998024,885998081,885998091,53.895,12,10
2026-01-31T16:47:19.072392Z,0x3def,891053480,891127171,891127241,891127253,891127309,891127319,73.691,12,10
2026-01-31T16:47:24.581702Z,0x72a9,896184984,896260726,896260796,896260806,896260862,896260872,75.742,10,10
2026-01-31T16:47:29.513567Z,0x46d6,901321349,901385474,901385544,901385556,901385612,901385623,64.125,12,11
2026-01-31T16:47:34.455014Z,0x990,906443804,906481750,906481820,906481832,906481888,906481899,37.946,12,11
2026-01-31T16:47:39.967222Z,0x6fc1,911543238,911622366,911622436,911622449,911622505,911622516,79.128,13,11
2026-01-31T16:47:44.904559Z,0x2087,916676665,916747286,916747356,916747371,916747427,916747437,70.621,15,10
2026-01-31T16:47:49.835405Z,0x4655,921805059,921856527,921856599,921856615,921856671,921856681,51.468,16,10
2026-01-31T16:47:54.763588Z,0x913,926914530,926952402,926952423,926952439,926952495,926952508,37.872,16,13
